date,temperature_2m,relative_humidity_2m,precipitation,rain,showers,evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_speed_180m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_direction_180m,wind_gusts_10m
2025-09-27 20:00:00+00:00,23.8565,77.0,0.0,0.0,0.0,0.21000002,0.68016887,9.114471,10.538843,10.594036,10.594036,80.909805,82.14678,80.21766,80.21766,21.96
2025-09-27 21:00:00+00:00,24.6565,73.0,0.0,0.0,0.0,0.29000002,0.83762217,10.239453,12.429127,12.429127,12.429127,79.87539,79.99209,79.99209,79.99209,24.84
2025-09-27 22:00:00+00:00,25.5065,66.0,0.0,0.0,0.0,0.31,1.1095514,11.090103,12.9249525,12.9249525,12.9249525,76.865974,77.125,77.125,77.125,26.64
2025-09-27 23:00:00+00:00,25.7565,64.0,0.0,0.0,0.0,0.29000002,1.192368,11.726277,14.003029,14.003029,13.5515,72.12121,72.03077,72.03077,73.009094,28.44
2025-09-28 00:00:00+00:00,25.1565,67.0,0.0,0.0,0.0,0.23,1.0547812,11.631956,14.512064,14.512064,14.182355,68.19853,66.61476,66.61476,66.037506,29.16
2025-09-28 01:00:00+00:00,24.2565,72.0,0.0,0.0,0.0,0.16,0.84817314,10.163227,12.904882,13.049689,12.72283,67.06787,67.01126,65.55606,64.8852,28.08
2025-09-28 02:00:00+00:00,23.3065,77.0,0.0,0.0,0.0,0.10000001,0.6580646,10.30883,14.007655,14.168641,14.336861,65.22488,64.09355,62.783974,61.504463,25.199999
2025-09-28 03:00:00+00:00,22.3565,82.0,0.0,0.0,0.1,0.050000004,0.48623896,9.19939,13.397612,13.584932,13.779114,59.420856,59.300358,57.99466,56.725105,24.119999
2025-09-28 04:00:00+00:00,21.4065,88.0,0.0,0.0,0.0,0.02,0.30592227,7.491114,11.592894,12.096214,12.313894,54.782326,53.84173,53.471054,52.124958,21.599998
2025-09-28 05:00:00+00:00,20.8565,91.0,0.0,0.0,0.0,0.01,0.22183585,7.145796,10.739832,11.019764,11.384198,40.9143,39.55964,38.367523,34.69522,16.919998
2025-09-28 06:00:00+00:00,20.456501,94.0,0.0,0.0,0.0,0.01,0.14429498,5.692099,9.885262,10.805998,11.440979,34.69522,33.111355,29.981556,24.145542,15.4800005
2025-09-28 07:00:00+00:00,20.1565,97.0,0.1,0.0,0.1,-0.0,0.07082319,5.1919937,9.387651,10.315115,11.298495,33.6901,32.471172,29.248732,22.47948,13.32
2025-09-28 08:00:00+00:00,19.956501,99.0,0.1,0.0,0.1,-0.0,0.023317337,4.1046314,8.4963045,9.585739,10.948973,37.875053,36.38445,34.286938,27.40749,10.799999
2025-09-28 09:00:00+00:00,19.7565,100.0,0.1,0.0,0.1,-0.0,0.0,3.6,8.209263,9.290511,10.805998,36.86999,37.875053,35.537766,29.981556,8.64
2025-09-28 10:00:00+00:00,19.5065,100.0,0.1,0.0,0.1,-0.0,0.0,3.0758414,8.0899935,9.19939,10.948973,20.556128,32.275623,30.579157,27.40749,7.92
